Kalenjin,Kiswahili
Kitech kaita koboishe koik che angeren ochei., Alijenga nyumba akitumia mawe yenye nguvu sana.
Mitenteta t newon ainet oripkee.,Kuna ngmbe kubwa mtoni mjichunge
inye ko atindeyot nebo baibayet nyu,Wewe ni hadithi yangu ya furaha.
 Alak kochamkei ak kolach ngoroik che bo robishe che chang.,Wengine wakajikwatua uturi na kuvaa  nguo za thamani.
chamiet ne ng'un ko u kibor oret , Upendo wako ni kama mshumaa wa kuongoza njia.
rapinik chu ko kigebaishen eng kasit noton ,Pesa hizi zilitumika vibaya ndipo kukawa na kandarasi .
kiborei biik akelakta eng' kaptakataka,Binadamu wanauliwa na kutupwa jaani.
Kosubet ab ortinuek chenyolu eng mungaret kotareti eng teksetab kayanetab olik,Kufuata maadili katika biashara husaidia kujenga imani na wateja
kasiret ab ke ing' achek ko tuguk che a e kekararanitu,Tofauti zetu ni vitu vinavyotufanya tuwe bora.
Kwaesye panganet notok amun maaro kamanut ake tukul.,Nilikataa mpango huo kwa sababu sikuona manufaa yoyote.
Kirori Kijasiri agomoinem kelek kobwa sang,Kijasiri alicheka bila kutoa kicheko au meno nje.
 Kiicham chhi tugul eng kokweemkobochi sikiik che bo Haji lakini Haji inne ko maacham.,Matokeo haya waliridhisha wazazi wake na kila mtu kijijini lakini Haji  hakuyapenda yeye mwenyewe.
Kiwo Kijasiri koker konetindet neo nebo sukulitap Msigulu nemi Milimani,Kijasiri alienda kumwona mwalimu mkuu wa Msigulu Primary School iloko Mlimani.
chang mweik emonoto,wakimbizi ni wengi katika nchi hiyo
kiprutoinikab emet nyo che kimito emet age ko kikimutu,Wasafiri kutoka nchi yetu  waliokuwa nchi nyingine waliletwa
betusiechu kitabusiek ko mokornotee, katika enzi hizi vitabu ni rasilimali muhimu.
Kikiro achek tukul keikibit akonyek chok,Sote tulishuhudia jambo hilo kwa macho yetu.
ole mi bolutik komie ortinwek,maeneo ya madini huwa na barabara nzuri
Mowol kiy Kijasiri ,Kijasiri hakujibu.
 Alak ko ki kimii tai eng inne.,Wengine  walimtangulia.
"Kimwa biik alak kole kito neoo ne kiyai sikuitu kaimutietab korona ko ametab mosonik, reresiat ak erenok","Wengine husema kuwa kitovu cha virusi vya corona vilitokana na ulaji wa tumbili, popo na nyoka."
Nito ko imanit,Huu ndio ukweli.
mawalaka Mandela akot nta kikimasta ake nyalil eng' rate noto,"Licha ya kufungwa na kufanyizwa kazi za sulubu na mateso yote iliyopitia humo gerezani, Mandela hakughairi.   "
ibchini bolutik emet robinik chebunu sang,madini huiletea hnchi fedha za kigeni
Kikicholie mising ak ketestai keiwei inendet,Tuliyoyashuhudia tulizidi kumwogopa 
Musong'natet eng mung'aret ko bo kamanut,Teknolojia katika biashara ni muhimu sana
okot ne bo raini ko bo kwong kole kokiturto ano,Lakini hata leo hii anashangaa alishindwa aje. 
Poipoiyennyu ko aro kopoipoen lagok chuk,Furaha yangu ni kuwaona wanangu wakiwa na furaha
ngaliot niton kokonech naiet ak emet nebo chumbek,Jambo hili pia lilifanya Uingereza kukata uhusiano
chamanik chun kochame kobokitie tuwai,wapenzi wale wanapenda kulewa pamoja
Magat ichopot ak orantiwek che lelach kabwatutik che lelach ak kimnatet ne lel,"Lazima uwe tayari kuzuka na mbinu mpya, mawazo mapya, nguvu mpya."
Mengech lagok akomache toretet kopunwech,Watoto ni wadogo na wanahitaji msaada wetu 
isubi chamainoto kakwoutiet ne isubi koot nekiseren kanetik(tsc),chama hicho kinaunga mkono uamuzi wa Tume ya Kuwaajiri Walimu (TSC)
chamiet ko kit nematinye kit ab let,Upendo kitu isiyo na mwisho.
Kopoipoenji chi tukul lakwanatak,Kila mmoja alifurahia mtoto huyo
ngi rari kolapati muguleldo ne nyun,"Unapocheka, moyo wangu unakimbia"
Kwasoman pukuit ne kararan missing' amut kemboi, Usiku wa jana nilisoma kitabu kizuri sana
ki  ng'om inendet Mandela eng' tugukab somanet,Mandela alikua mwerevu sana kwa mambo ya masomo
Imukoksei kutuiyogei mengaret ak chopikab tuguk che bo orit,Biashara inaweza kushirikiana na wazalishaji wa ndani
Teksosiek nematinyei bik che kikiser koba buch,Miundi misingi bila ya waajiriwa itakuwa akzi bure
nyoluu konet konetik sukulisuiek, Walimu katika kila shule wanapaswa kufunza kuhusu uwajibikaji.
kongemak mungaret ab bik chechang, biashara za kibinafsi iliharibiwa sana sana
Kiboitinik chebo asoya kochile mung'aret,Wafanyakazi fisadi ugandamiza biashara
Kemwaiten akobo asoya eng' chii nemining' anan neo ko ibaibaiti mugulel,Kushtakiwa kwa ufisadi mkubwa na mdogo ni jambo la kutia moyo.
kiitil iibu mbar somaneng'ing nebo ketekab ndekee?,uliamua kuileta shambani shahada yako ya urubani?
Kiteini tiendab kaa kaa, Tunaimba nyimbo za familia.
kap chii ko u karuatet ne kararan ni kiayak,Familia ni kama ndoto nzuri iliyotimia.
Mungaret ne tesetai koibu boratet eng betusiek che mi tai,Biashara endelevu ni uwekezaji wa badae
Kiran aimgee nea  ako bo inye ,Nilichanganyikiwa kwa sababy yako
kiingen inendet kole nyoru kaimutik choto ye yai kou noe,Yeyey alifahamu fika kwamba angepatana na shida hizo  akitenda hivo
anii tinye sukulini kipsomaninin chechang wechei, Alaa! Shule hili lina wanafunzi wengi sana.
chotok ko alak eng' oratinwek che kitonone emet,Zifuatazo ni baadhi ya njia za kumarisha uchukuzi nchini.
nyoluu kunai konetinte kiit nemeche kipsomanian, walimu wanapaswa kujua mahitiji ya wanafunzi.
"nebo aeng,komagaat kochop serikalitab Kenya taishekab oret","Pili, serikali inafaa kutengeneza mataa ya barabarani."
"tos,igerti ano inye?","Je, wewe unaonaje? "
kiibet biik che chang' chamanwek kwak,Watu wengi walipoteza wapendwa wao
kunoto siaset kou maat negiboishen kesusishen ago muuch kobek chi ,"Hata hivyo, siasa ni kama moto unatumika kupikia na unaweza kutuchoma."
Ara isubi bik ngalek che wisis ak cheboishee kasarta kitikin kobendi banda ngwai,Sasa watu wengi wanafwata mambo rahisi na yenye kutumia muda mfupi ili wapate kusafiria.
kararan ingaa meche konay biik chegemutii eng karit ngalek cheyach chechang cheyoyosgeei kobunu nyasusiet ab oret,ni vizuri ingawa pia abiria wanafaa kuyajua hakuna kafara nyingi ambazo zinafanyika kupitia ajali barabarani.
"kokeny,kokiwokyo ak kokwer deboik","vile vile,waliendelea kupiga nduru kwa sauti ya juu na kugonga madebe"
Kikokany konyekchi ak kabwatutikchi kobetyo,Macho na fikira zake zilifanya kiwi.
kinyorchini sukulit neoo kosisiek che terter, Kozi za haina mbalimbali inapatikana katika vyi vikuu.
koyayak ruset noto amu kiminingit mising olegebunei,Ajali hiyo ilisababishwa na uwembamba wa baraste wakati
kigoos sautitab kibet ago nyii korotik wiy tugul,Sauti ya kibet ilisikika na damu kuenea kila mahali.
Kapoipoitu amun katuyenen raini,Ninafurahi kukutana nawe leo.
mi maembek chechang mbar,shambani mna maembe mengi
mito kauntisiek mut che kiboisie robinikwach koyait.,Kuna kaunti tano zilitumia pesa zao vibaya.
Tareti keturek ng'ung'unyek konyor yakwaindo ako pityo minutik eng' chepchepindo,Mbolea husaidia mchanga kupata rotuba na mimea kukua kwa haraka.
"ketesyini choto, ko kiitonon boisionik che chang' keretab uwanjetab ndeget","Kuongezea haya, kufungwa kwa uwanja wa ndege kumesitisha shughuli nyingi"
"Teksosiek kou, sipitalishek, sululishek,oratinwek ak alak tukul","Mifano ya miundo msingi ni hospitali, shule, barabara na kadhalika."
Kinem amndaendit somanet ab nyoet ab ke ag kenamke,Mchungaji alitoa mafundisho kuhusu msamaha na upatanisho.
Achame amunyi saisyek ap koskoling',Wakati wa jioni huwa napenda kupumzika.
kibir kipsomaninik kurait kunai kantoitet kwang nebo klas,Wanafunzi walipiga kura kumchagua kiranja wao wa darasa.
 Kobuntoe labatee ko kokutoret neranik che bo Kenya.,Kupitia kwa riadha imehamasisha vijana wengi nchini Kenya
Kolset ab minutik ko tareti eng petushek che mami,Upanzi wa mimea ya kustahimili ukame itawawezesha
kit akenge eng' kap chi ko nebo kamangut ak kaliet,Umoja wa familia ni msingi wa amani.
Kitestai konam nyundoit eng eut eng kasarta ,Aliendelea kuishika nyundo mkononi kwa muda huku kalegeza miwani kwenye pua lake pana jeusi kama mpingo.
ra ko ng'otoni kolutik kobitei kiboitinik tuguk chekikool eng komosato,"Siku hii, anakagua mimea wakati ambapo wafanyakazi wake wanaendesha shughuli ya kunyunyiza dawa katika mimea hiyo katika sehemu hiyo"
makobendi piik kosoe eng' kibakeng'e,Watu hawaendi kuswali kwa pamoja.
Kiwo Tumaini kurget asikotoben lagochoto,Tumaini alienda mlangoni ili awatazame watoto wenzake.
 Che kitinye runingait ko mamoche kosirto kiy age tugul  anan kole bikab kondeni.,Waliokuwa na runinga pia hivyo hivyo hawakutaka kupitwa na kitu  ama chitu wasemavyo watu wa hapa Kondeni.
Kokokony kurget meet,Mauti yakapiga hodi
 Kito ni kwonge Haji ko kerote murenik choto.,Kinachomshangaza Haji ni kuwa  wanaume hawa uishia kufungwa jela 
ma sigiik ago konetiik tugul chetinyei robinik chekilupanjini lagook anan koinemjigei konetindet money lagook,Si walimu au wazazi wote wana fedha za kuwalipia watoto wao au mwalimu kujitolea kuwafundisha watoto
weetab tiemutik ko weto netuisiot kipsomaninik sikoyae tiemutik, Maabara ni mahali wanafunzi wanatumia kwa majaribio.
" Kata imi sipitali inyaa biik cheu anee, kimwoji Haji?",Unafaa kuwa hospitalini ukitibu watu wenye ndwele kama  yangu alimtania Haji. 
nguni mii biik che kikirat amu marub ng'atutik,"Kwa wakati huu, watu wengine wanakula kalenda kwa kutofuta masharti"
Maimugkase kekole minutik eng' kasarta nitok,Haiwezekani kupanda mmea au mimea wakati huu
tos ikochini serikalit mbarenik biik che kikichenye? ,Je serikali inawapatia watu mashamba waliochukuliwa?
Leitaetab logoiwek koyache komite karik chebo boishonoto,Vyombo vya habari yanafaa kuwa ili matangazo zifanyike
 Kechob sherehe ne kimakitet.,Pakaandaliwa  sherehe ambazo hazikuwa zimepangwa.
kiteche olegitonone olemuch kolany biik karishekab serikalit,Kujengwa visimamo ambapo watu wataweza kuabiri magari ya umma.
Kichomegei kou tupcheshek,Tunapendana kama ndugu.
namekab kiplekonik eng taunisiek ko amu rorunekab mbarenik,Ufugaji wa Sungura jijini Suala la ukosefu wa ardhi
Opwan oamisye kakoruryo amitwogik,Njooni mle chakula kimeiva
Siret koibu bichiinwek ak kasarwek eng mung'aret,Soko huleta changamoto na fursa kwa wafanyabiashara
Kanetet ko tait ne ikwenyi orenyo,Elimu ni taa inayoangaza njia yetu.
 Kirub ne koleweni?,Walifuata nini katika kuchagua?
koicham inendet ngalek che kwele ge ak bik eng oret,Inasemekana mama huyo alikuwa na vitambaa vyeusi mkononi na chupa iliyodaiwa kuwa na hirizi.
tos ma ngalek ab kiptayat eng siret nenyinet eng sungul,kama si uwezo wa mwenyezi mungu angepita mtiani shuleni
Matoiyan ngalek abkandoik  che mamakenkii emet ,Musikubali  maneno ya  viongozi wasiojali  nchi.
Kiboishe tuguk chotok eng' ngalalet ak kampeinishek,"Minghairi ya hayo vyombo vya mawasiliano hutumiwa kuhamasisha umma na pia kampeni zilizofadhiliwa na serikali zote zikiwa dhidi ya ufisadi kupitia vyombo vya habari, mabango mitaani, na pia barabarani na pia mtandaoni ili kuwajuza waliosoma na wasiosoma kuhusu  madhara ya ufisadi na sababu za ufisadi nchini."
nda kinde garit rangik ko much kenai,Pia gari linapopakwa rangi Litaweza kutambululika.  
Ngenet ole kiboishe keturek chechang' ak ole kikirindoi tutuinik ko maam minutik,Wafunzwe namna za kutumia mbolea mbali mbali na namna ya kuzuia wadudu kula mimea.
 Ako kingem boisie kokeny.,Na bado ilimnyima kazi tena.
Kinde mauwek kokwet kanisa amu ki krismas,Wenyeji walipamba kanisa kwa msimu wa Krismasi.
"Kouyo kimwa toritik choti, kimuta akotoret kanyo",Kama walivyoahidi wafathili wale walinichukua na hata kuisaidia aila yangu 
Kityen kwaya ab kanisa komnye tiendo noto ab Jeso,Kwaya ya kanisa iliimba wimbo mzuri wa Messiah wa Handel.
marub kou ya kiu somanet noto,Masomo hayo waliyafuata kinyume.
kiteb nyikanatet sokonyor konai saiti,Kijasiri aliuliza ili apate ufafanuzi zaidi.
kimeisot mising' chebo kenyisiek tutegen,"""Wale wadogo wenye umri wa wiki tatu ndio waliokuwa wakifa sana"
much kochop neranik kochop kibaagenege eng' mswognatet ab kasari si kekoito kanetishet akobo  asoya,Vijana wanaweza kuunda vikundi mbalimbali mitandaoni na kutoa mafunzo kuhusu ufisadi 
"Yekimwaa, mairie morenet agenge kisiriat","Naam, kidole kimoja hakivunji chawa."
Kiibwat kwanitab Kipokeo ,Alimwaza babake Kipokeo.
koek bik cheyach metoek mamwaksei amakimwae,Watu wamekuwa mahayawani hawaambiliki hawasemezeki.
Nitok ko makosait ne yoo mising' amu pute ngatutik,Hii ni kosa kubwa sana kwa sababu wanavunja sheria
Tabiait ni kiberberi murenik che tinye kwonyik,Tabia ya kudanganywa na wanaume wenye wake.  
meche kengen kole kongete olin bo Wuhan emetab china,Ugonjwa huu unadhariwa kuibuka huko Wuhan nchini China.
Koimen koei maiywek akoruiyo eng yoto bet, kutwa!wa kunywa changaa na kulala pale mchana
"Aeng, kotoriti eng taunet ab taunishek ak komoswek chik che lelachen","Pili, husaidia katika maeneo uanzishaji wa miji na makao mapya."
"anyun,momeei nyikana,ruwei","Naam, shujaa hafi, hulala."
Igoitoi sirutikab beitab tuguk ngosom olindet,Hutoa orodha ya bei ya bidhaa iliogizwa na wateja
Chope amitwogik che kororon missing' sigik chuk,Mama yangu anapika vyakula vizuri sana.
Kikibir kipsomaninik chuno ochei konetinte ne oo., Wanafunzi wale walichapwa sana na mwalimu mkuu.
Kamugengung komuchu kosir tiemutik alak tugul che bwoni,Uwezo wako unaweza kuvuka kila mitihani inayokuja.
kikinam Mandela akerat,Mandela alitiwa mbaroni na kufungwa gerezani.   
Komie amune metiegei kimnatetab neranandingung ak ngomnotetnyi,"Vizuri kwani hutegemei nguvu za ujana wako na hekima ya dunia, aliambiwa."
Koteb akoba kitabut nyi nekimong' arawet nekisirtoi,Akauliza kuhusu kitabu chake kilichotoka mwezi uliopita.
Kiakeren en gaa  ako mekatan ,Nilikuona nyumba  mbon haukunisalimia
Atinye poipoiyet amun kaitu yu raini,Nina furaha sana kufika hapa leo hii.
Roponi ropta neo eng' sang',Mvua kubwa inanyesha nje.
tabanutan choto ko kiba ng'ony mung'arenik che chang' aku nyeraka,"Fauka ya hayo, biashara zilididimia na kuharibika."
Nebo aeng ko walae taretet ab piikeng' kapchii tugul,"Pili, miundo msingi huboresha huduma za msingi kwa jamii nchini Kenya."
kogany walutik ama mamach kobiregei ,wasubirie matokeo na sio kuleta vurugu.
Timishe ab emet che chang kotinye historia ne kiturekei.,Timu za kitaifa zina historia ndefu ya ushindani. 
Kitestai akomwa kole tuiyet noto ko kibo kalyet ak kibangengeit eng emet,Aliendelea kusema kuwa mkutano huo ulikuwa wa kudumisha t amani na umoja nchini.
agot ndagindenoi taishek komaegu ku beet,Hata kama mataa yataekwa lakini hakutokuwa kama mchana
kipsomananiatab  sukulit ne bo oeng,ni mwanafunzi wa shule za upili
kiimuch kutou biik alak mung'arenk che tinyegei ak koroito nito,Watu waliweza kuanzisha biashara zao kutokana na ugonjwa huu
meche ketoreto keyay giiy agoba ngalechoto ,jambo hili linafaa  ishughulikiywe kabisa
Konyor kesutik chechang' kapatik,Wakulima walipata mazao mengi
king'at Duale kocheny oret nekitorei nyalildab kanetik chemobo komoswechoto,Bw Duale aliahidi kutafuta suluhu kwa tatizo la walimu wasio asili wa eneo hilo
bo kamanuut somanet ,masomo haya yana umuhimu wake
Eng' kanetishet ab kabatik ko kinet akobo kolset ab minutik komie,Kutokana na maelimisho hayo wakulima walielimishwa kuhusu Jinsi ya kupanda mimea ipasavyo
 Kany awis akur kanyointe.,Acha  nikimbie nimwite dakitari.
"yekakekes,kendeni gredisiek tisab kotinygei ak kiit chetenin","Baada ya kuvunwa, kahawa huwekwa katika gredi saba kulingana na ukubwa wa buni."
Kiituyokei ak lagok alak chekikairiruchkei akochop pororiet ,Walijuinga na kundi kubwa la watoto ambalo lilikuwa limejikusanya na kufanya kundi kubwa taifa.
"Maiyanat komein mugulel,iture tiemutik","Kufa moyo hakufai, utashinda mitihani "
Kechopis ko oret keiumi kapchi kipakenge,Kupika ni njia ya kuleta familia pamoja.
Angot ko ngwan imutechi eeh ,Kama ni uchungu uvumilie 
kiwo kibagenge akoi ole mi manejayat,Aliingia moja kwa moja kwa meneja.
"eng kasarta ege,(leaf rust) koyoei sokek konyoolulyo","kwa wakati mwingine,(leaf rust) hufanya matawi kunyauka"
Makomii biik chebetotin eng kasarta ab kristo,Bado hakuna wasioamini Yesu kwa wakati huu
chamiet ko banda nemakiwae ak kii,Upendo ni safari isiyopimika na kitu 
tinyei kabotik boisie neoo,wakulima wako na kazi nyingi sana
Eng' oret nitok ko nyoru kipsomanik naet ab batishet,Kwa namna hii wanafunzi watapata kufahamu umuhimu wa kilimo. 
"kimuch kenyorchi tunguik chu eng'  rotwe,ngoroik ak alak","virusi hivi vingeweza kuwepo kwenye visu, nguo, na kadhalika. "
yo tore lakwet kidatoit nebo angwan eng sugul komeche robinik asikotoi inendet mungaret,Endapo mwanagenzi atamaliza kidato cha nne atahitaji pesa ili kuanzisha
katepe chito noto,aliuliza yule mtu.
Kiitu lagok che mengech eng sukul,Wadogo wa Asisi walikuwa wanarejea kutoka shuleni.
" Kiibut eng chokchine akobotan kowisu chepyose nyi Amina,","Alianguka ghafla na kuanza kufafaruka, mkewe  Amina akaja akikimbia. "
naet ab kee nenyon ko nebo kamangut missing  eng sabet nenyo, Mahusiano yetu ni muhimu maishani yetu
"kinyoru toretet eng wanasiasa che ter ter ku lagook chematinyei sigiik,lagookab sugul ak bikap emet","wanasiasa hutoa misaada tofauti tofauti kwa mayatima, wanagenzi na wananchi."
 Kichelewan koyat kurke chitap kuke  ne bo sukul., Bawabu alichelewa kufungua mlango ya shule.
Ine ko chito ne kararan,Yeye ni mtu mzuri
Kiesio kolany garit akomach konam inendet cheplakwet eut akemute kelyek agoi sukul,Alikataa kupanda gari akasisitiza kuwa yaya amshike mkono na kumpeleka kwa miguu hadi Kinani Belsa.
che kinyoru koroiwek choto  ko kitinyeing'wonindo neoo,waliopata magonjwa hayo walikuwa na uchungu mwingi
sobet ko u chemaringet kometileshen kotilin inyendet ,Maisha ni kama msumeno usipoukata utakukata wewe.
makikochi boisie akot ko kakokelchi,alinyimwa nafasi ya kazi hata baada ya kufaulu
Kiwo Anao sukulitap barak nebo Henry ,Anao alijiumga na shule ya upili ya Mtakatifu Henry.
kinyo cheso eng ngwanduni kosarwech eng tengek,yesu alikuja duniani kutuokoa kwa thambi
 Kitiem kong'alolji urerenik ko uu ye kimuuch., Alijaribu kuwashauri wachezaji wake kadri ya uwezo wake.
tesei logoek alak korotik eng' borto,Matunda mengine huongeza damu mwilini
kiichuchuch benkit biik che chutei tuwai,Benki zilipunguza idadi ya watu wanoingia kwa wakati mmoja
Tilet ne ui no ne nyalu keyai,Huo ni uamuzi mgumu ambao tunahitaji kuufanya.
Kimut kasit tarikit mut kenyit ab elipu aeng ak taman ak mut,"Ilikuwa siku ya Jumatano, tarehe tano, mwaka elfu mbili na kumi na tano."
Eng chokchinet kowek askarindet ak asakarik alak ,"Ghafla bin vu, askari yule alirudi na kundi la askari wenzake."
kiwoolu olyetab tuguk alak ak ichek,Bidhaa nyinginezo pia zimeanza kushuka bei
bik chechang chebunu ematunwek ab sang chebwane kokerat oli,Wageni wengi kutoka nchi za Ughaibuni kutembelea uku
meche kotech serikalit oret negibunee ngelyek amu Chang biik chebune kelyek,serikali sharti ijenge njia za wanaotembelea kwa miguu kwa sababu watembeaji wengi
 Tienii che bo Afrika ko ororon ochei eng ng'ony komugul., Waimbaji wa Afrika ni wazuri sana katika dunia kote.
Kenyoru kebeberta nekararan kosir nanyu ,Wewe ulipata kipande kizuri kuliko changu!
Chopisiet nemie kosichei amitwogik chemiach,kupika kizuri huzaa chakula bora.
koroitab ni kowalege  walet eng kasarta neo,Maradhi  hujibainisha baada ya takribani siku kumi n.
Kingen akemwae kongoi ochei, Tunatambua na kupongezana sana.
Amune sinyite bik,Mbona kuwasinya watu?
kiimuch koibu kerkeindo eng' emenyin Mandela,Mandela walikuwa wamefanikiwa kuleta usawa katika nchi yao.   
