Kidaw'ida,Kiswahili
"Sikunde w'upuzi ghwape, ndedikatane.","Sitaki upuzi wake, hatujatoshana."
Nilolagha ngelo nidedanye nao kesho.,Nitatafuta mda nizungumze naye kesho.
Nalumwa ni ngalamvo.,Nimeumwa na nyigu.
"Naw'aw'a ni ngolo hata basi tu, nisighe w'oruw'o.","Nimesikia uchingu moyoni hata basi tu, niache hivyo."
Chia imweri ebonya mndu ughaluo mwendo ni kumkushua.,Njia moja ya kufanya mtu augeuze mwenendo ni kumkashifu.
W'eke mwana mashiniko!,Jamani mshangao!
Ngera w'uja ni kuw'onekana mkelu ado?,Sijui kama ni kumuona mtu kuwa mjinga au?
Si nicha kungi mndu kutumia mbedu kisha kisha.,Sio vizuri mtu kumtumia mwenzake ovyo.
Da nimoni nibonyagha w'ada?,Sasa mimi nitafanya namna gani?
Nechakaia nikato w'oruw'u.,Ikawa nitosheke hivyo.
Naw'onie ivi vilambo vizoghorwagha mtandaonyi mando mengi ndeviboie.,Nimeona hivi vitu vinavyouzwa kwa mtandao mara nyingi sio vizuri.
W'andu w'abwaghwa ni tee.,Watu wamejaa uwongo.
Disekekukasa angu kulolana zua isiw'eni kwa isiw'eni.,"Tusijivune, kuringa  au kuchokozana."
Osindalumwa ni kifu da simanyire ngera wasikira w'ada.,Alikuwa akisokotwa na tumbo sasa sijui anasikiaje.
Ichi Krisimasi hata nimoni nakunde nihoreshe.,Msimu huu wa Krisimasi hata mimi ningetaka nipumzike.
Narirwa naka sa mwana mtini.,Nimefurahi kama mtoto mdogo.
Nagua kishimandu chapo chedumbua mbogha.,Nimenunua kijidude changu cha kukata mboga.
Kwa ndighi ra kidamu ndeidimikagha.,Kwa nguvu za kibinadamu haiwezekani.
"Ela itunda ja Roho, ni lukundo, kuboilwa, sere, kurumaghia, kutala wandu, ishima, wuloli, wumboa, na kukumazira.","Lakini tunda la Roho ni upendo, furaha, amani, subira, heshima, ukweli, upole na kujidhibiti."
Kubonya maza sa iro imbiri ya w'andu ni kushughunuka.,Kufanya mambo kama hayo mbele za watu ni ufidhuli.
Namanya linu nadela.,Nafikiri leo nitakosa.
Sikunde uche unisow'e.,Staki aje anikose.
Simanyagha ngera uchaa saa ilinga.,Sijui atakuja saa ngapi.
Oka na nganyi sa ra mndu ofwaya.,Ana ubishi kama wa mtu anayehara.
Kwanirira hata simanyire nikuw'onnagha lii.,Nimekutamani hata sijui nitakuona lini.
Mndu kakaia na choyo kwam'manyira kuvisa vindo.,Mtu akiwa mchoyo utamjulia kwa kuficha chakula.
Kila uja mwana ndoudedagha.,Kumbe yule mtoto haongei.
Waboisire shighadi nicha nandighi.,Ametengeneza bustani vizuri kabisa.
Oka na lwafuo wadima kumeria vindo imbiri w'andu w'azima w'isejie.,Ana ulafi anaweza kumaliza chakula kabla watu wengine hawajakula.
Namghorie seji koni neremghorighe naimbiri.,Nimemwambia kama vile nilivyomwambia hapo mbeleni.
Ngera nani umkumbie sheshe ulkeghe uja mwai?,Sijui ni nani amemweka fitina akatae yule msichana?
Neghesha w'ei angu nismshanie ndouredagha chija kilambo nagua.,Nilifikiri eti kwa sababu sijamlipa hataleta kile kitu nilinunua.
Iyo koshi vui yachilu yafuma hao?,Huyo m'bwa mfupi mweusi ametoka wapi?
Maza rikabia nainjika noko.,Mambo yakichacha ninaondoka pale.
Inyi sikundagha marashano.,Mimi sipendi magombano.
W'eni Mwarashu ndew'isarighia zoghori raw'o.,Wakikuyu hawachezi na biashara zao.
Neghesha w'ei ndokuchaa.,Nilifikiri kuwa hutakuja.
"Mghenjo ni Roho, nenyo ndemchakatisha bea ra mumbi.","Tembeeni mkiambatana na Roho, nanyi hamtatimiza tamaa za mwili."
Msekelumana na kujana mmbeni na mmbeni.,Msiumane na kulana wenyewe kwa wenywewe.
Angu Sharia yose yakatishwa kwa ilagho jimweri.,Kwa sababu Sheria yote imetimizwa kwa jambo moja.
Kumkunde mmbenyu sa iji koni kukukundagha kumoni.,Mpende jirani yako kama nafsi yako.
Ela mdumikiane inyo w'eni kwa inyo w'eni kwa lukundo.,Lakini muhudumiane wenyewe kwa wenyewe kwa upendo.
Ela mdumikiane mmbeni na mmbeni kwa lukundo.,Lakini muhudumiane wenyewe kwa wenyewe kwa upendo.
Mndu wamlegha Mlungu wasaghua kifwa.,Mtu akataaye Mungu amechagua kifo.
Andenyi ya Kristo isi w'ose ni w'andu w'amweri.,Ndani ya Kristo tu watu wamoja.
"Uo mundu waw'uyamjisha w'asi, uchatanywa andu koni uko.",Huyo mtu anayewatatiza atahukumiwa mahali alipo.
"Morekoghe mkighenda nicha, nani wamnonia?","Mlikuwa mkitembea vizuri, ni nani amewaharibia?"
Jikundikie ni irumirio jibonyagha kazi kwa lukundo.,Litakikanalo ni imani ifanyayo kazi kwa upendo.
Nekunda nifume nendeoda iruw'a.,Nataka kutoka nje niote jua.
W'ele mkoghe nicha w'oruw'u ni kii sena?,"Je, mlikuwa vizuri kabisa, ni nini tena?"
Chachu ndini yadafurisha mufu ghose.,Chachu kidogo huchachua donge lote la unga.
Hai nachi ni bora binana.,Kweli ni heri uhai.
Simanyire nikii ela vindo va iguo venifwasha.,Sijui ni nini lakini chakula cha jana kiliniharisha.
Nanda isha iyole ja ipwau.,Ninaenda kupasha moto kiporo .
Mwai wapo ndousindee sikira nicha.,Msichana wangu alikuwa hasikii vizuri.
Mwai wapo osindasikira kisaya.,Msichana wangu alikuwa anasikia vibaya.
Lini koka na maw'ingu na mbeo.,Leo kulikuwa na mawingu na baridi.
Naendieghe ikanisenyi ela machilo gheka ghisukie.,Nilienda kanisani kakini mahubiri yalikuwa hovyo.
W'uja nasikire w'ei otana na mkape.,Vile nimesikia ameachana na mkewe.
Waghorie w'adaw'ana w'ape w'aw'I w'eshamishwa.,Amesema vijana wake wawili wametairiwa.
W'atumie magome malazi kwa ija karamu.,Wametumia pesa nyingi kwa ile karamu.
Ofwa w'aya hata ndoucheghe kuniroghua.,Ameona haya hata hakuja kunisalimia.
Omoni wakrumia nandighi.,Yeye anajihuriumia sana.
"Kwa huw'o, mangenyi gi, hata msakerumiria kungirwa ghongolo ya w'azumba sena.","Kwa hivyo simameni wima, hata msikubali kuwekwa nyororo la utumwa tena."
"Kwa w'undu ghwa w'uhuru, Kristo wadiw'ikie huru.",Ni kwa uhuru Kristo ametuweka huru.
Isi de w'anake w'atini ela daw'adia ghaja gha mkiri.,Sisi ni watoto wachanga lakini tumeshikilia yale ya Mwokozi.
Isi de w'ana w'a mka mkitina.,Sisi ni watoto wa mke mrithi.
Ukamw'inga uja mka na mwanape.,Alimfukuza yule mwanamke na mwanawe.
Ondaw'oka kuva w'ana ukaw'oka kukorongwa ni mka uu m'baa.,Alipoanza puzaa watoto alianza kuteswa na mke wa kwanza.
Orelow'ua mka wa kaw'I angu wa imbiri oreka kolow'i.,Alioa mke wa pili kwa sababu wa kwanza alikuwa tasa.
Mlungu oko na w'ughoma mungi kwa w'azumba.,Mungu ana fadhili kuu juu ya watumwa.
Angu w'ana wa uo uleghelo ni w'engi.,Kwa sababu watoto wa yule asiyezaa ni wengi.
Mka usevagha kidaw'da ni kolow'i.,Mwanamke ambaye hazai kwa kitaita ni tasa.
Mkitina na mzumba ndew'iw'aghilwagha ifwa karakara.,Mrithi na mtumwa hawagawanyiwi urithi sawasawa.
Mndungi uko nicha ndoudimagha kusaghua kukaia aisi ya sharia.,Mtu yeyote aliye sawa hawezi kuchagua kukaa chini ya Sheria.
W'ana w'ape w'ose  wava kwa kubarwa.,Watoto wake wote huzaliwa kwa upasuaji.
Nakaia na luw'aw'o sa lwa mka ukumbagha lufu kwa w'undu ghonyu.,Nina uchungu kama wa mwanamke anayezaa kwa ajili yenu.
Inyi ni w'ana w'apo nimkunde nandighi.,Nyinyi ni watoto wangu niwapendao sana.
Hata si angu w'ei ni ihi ngelo dikwanye koni anduangi.,Hata si kwa sababu ya mda huu tulio pamoja pekee.
Kukundwa kwa w'undu ghwa mecha kwafwana matuku ghose.,Kupendwa kwa ajili ya mema kunafaa siku zote.
Msemanye w'ei aw'o w'andu w'aw'uyakaia na bea nenyo kwa w'undu ghwa mecha.,Msidhani eti hao watu wanawapenda kwa sababu ya kuwatakia mema.
Danu nendamghoria loli new'uya m'maiza?,Sasa nilipowaambia ukweli nimekuwa adui?
Kwa lukundo lonyu lubaa moredimagha kughikua meso ghenyu m'nineke.,Kwa upendo wenu mkuu mngeweza kunitolea macho yenu munipe.
W'andu ndew'iduaa w'ikingira voro veruda machi va mkonu.,Watu hawangali wakiweka vyoo vyakuvuta mkono wa choo ili kuweka maji.
Nakunde mughaluo kaw'ona idimikagha mngire choro kiw'ishi.,Ningetaka mgeuze kama itawezekana muweke choo mpya.
"Morekoghe mkato, mwachew'onaki sena?",Mulikuwa mumetosheka imekuaje tena?
Kaw'ona isedimikagha disighe w'oruw'u.,Kama haitawezekana tuache vivyo hivyo.
Okenyi nanona malagho.,Sasa angalieni nimeharibu mambo.
"Sidimagha kuchuria jingi aighu, agha kwaghora ghakata.","Siwezi kuongezea lolote juu, haya uliyoyasema yametosha."
Uja wakuzera kujiduke kuende nani?,Aliyekwambia ujitwike uende ni nani?
Uja waniboisa niomoni wanizera niduke igodoro japo nighende.,Yule aliyeniponya ndiye aliyeniambia nibebe godo langu niende.
"Iyo misarigho siikunde, fumenyi noko.","Hiyo michezo siitaki, tokeni huko."
Aja andu orebonyereghe machi gjkaghaluka ghikaw'uya divei.,Pale ambapo alfanya maji kugeuka na kuwa divai.
W'andu w'engi w'ikamrumiria kwa w'ushuda ghwa uja mka.,Watu wengi wakamwamini kupitia ushuhuda wa yule mwanamke.
Mando ghamu mndu okunda tu usee kidombo udekelo.,Mara nyingine mtu hutaka akae tu chini apikiwe.
Dijaa kii linu?,Tutakula nini leo?
Mndu ndounekwagha ishima ni w'andu w'ape w'eni.,Mtu haheshimiwi na watu wake wenyewe.
Matuku aw'I ghendasia ukafuma aho na kwenda noko.,Baada ya siku mbili alitoka pale na kwenda mahali pengine.
Kumangu nifumieghe linu kugua maghanga gha chongo.,Ingekuwa vizuri kama ningetoka leo kununua dawa za kichwa.
Nikumzighana Mlungu tu kwa ghose.,Nikumwangalia Mungu tu kwa yote.
Malagho ghaidie mengi ughu mwaka gheshinua.,Mambo yametokea mwaka huu ya kustaajabisha.
Nakunde nidambe ughu mwaka ghusesirie.,Ningetaka nisafiri kabla mwaka huu haujaisha.
Hee nekoane mana kazi niro rachua.,"Ee, ni mzima, kazi ndizo zimezidi."
Wanighoria malagho ghose nighibonyere.,Ameniambia mambo yote niliyoyatenda.
Mchaa saa ra vindo va dime angu va kio?,Mtakuja saa za chakula cha mchana au usiku?
Naw'esera w'aghenyu w'ifume w'inifungo.,Ninangoja wageni watoke niwe huru.
Nikutimatima w'oruw'u ichia na ichia.,Ni kujaribu tu huku na huku.
Hoku iruw'a jafuma kutineri namanya nguw'o riomagha.,Naona jua limeng'ara kidogo nadhani nguo zitakauka.
Nandaanika nguw'o rapo nisinderifua.,Ninaenda kuanika nguo zangu nilizokuwa nikiziosha.
W'ereshinika angu waradedanya na mka.,Walistaajabu kwa sababu alikuwa akisema na mwanamke.
W'anughi w'a Jesu w'erekaa ni w'andu tu sa isi.,Wafuasi wa Yesu walikuwa ni watu tu kama sisi.
"Uja mka ukamzera, namanya putu Masihi uchacha.","Yule mwanamke akamwambia, najua Masihi yuaja."
Kula mndu oko na mndwape upangilo.,Kila mtu ana mtu wake aliyepangiwa.
Ngera ulo ndolokoghe lukundo lwa Mlungu.,Pengine hayo hayakuwa mapenzi ya Mungu.
Nashinikie kila w'uja naomoni oremkundeghe.,Nilishangaa kumbe vile hata yeye alimpenda.
Nasighwa kutineri nimerie chaghu chapo.,Nimebaki kidogo nimalize kibarua changu.
Nakazwa ni choro sigha niende kutesia.,"Nimekazwa na haja, wacha niende kujisaidia."
Diko an yaja w'aghenyu w'ikangia.,Tukiwa pale wageni wakaingia.
Simanyire kwaki w'andu w'ikundagha kuw'ingishwa.,Sijui kwa nini watu wanapenda kufuatiliwa.
Kuw'ona mndu seji ni kina cha magome.,Kumuona mtu kama shimo la fedha.
Uko ni kuso'wa ngunya.,Huu ni ukosefu wa adabu.
Anyaja w'ikaw'oka kumvoya uw'ineke magome.,Pale pale wakaanza kumsihi awape pesa.
Ovina gonda mpaka ukajokwa ni mbeo ikakaia suti udighisho ni w'andu bana ukighuluka.,Alicheza densi mpaka akapagawa na pepo ikawa lazima apigwe miereka chini na watu wanne akizirai.
Angu orekogjhe wasilwa nandighi osea kidombo anyaja orekoghe umange.,Kwa sababu alikuwa amechoka sana aliketi chini pale pale alipokuwa amesimama.
Nitimagha seji ichadimika niw'one ngera dadima kugalanya.,Nitajaribu vile iwezekanavyo nione kama tutaweza kwenda nyumbani pamoja.
Uja wadumwa ni Mlungu waaja malagho gha Mlungunyi.,Yule aliyetumwa na Mungu huzungumza mambo ya Mbinguni.
Ondarighitwa andu kuw'angwagha Moshi.,Ameenda kutibiwa mahali paitwapo Moshi.
Uja usemrumiriagha wameria kutanywa angu userumirie irina ja Jesu mwana wa Mlungu.,Yule alsiyemwamini amekwisha kuhukumiwa kwa sababu hajaamini jina la Yesu mwana wa Mungu.
Ocha w'oruw'u nwa ukagala mzinyi kwa mae.,Alifika tu hivi halafu akaenda nyumbani kwa mama yake.
W'andu w'aboilwa ni mabonyo gha kira kuchumba mwengere.,Watu wanapenda matendo ya giza kuliko ya nuru.
Angu Mlungu oreghukundeghe w'urumwengu hata ukamfunya mwanape wa ititi.,Kwa maana jinsi hii Mungu aliupenda ulimwengu hata akamtoa mwanawe wa pekee.
Eri kula mndu urumiriagha apate irangi ja kala na kala.,Ili kila mtu aaminiye awe na uzima wa milele.
"Mzaw'o ni Shigharo ela ohamia cha W'esu, andu kuw'angwagha Choke.","Kwao ni Shigharo lakini alihamia upande wa W'esu , mahali panapoitwa Choke."
Orekoghe na mifugho raenga ela nyingi orefugha mburi.,Alikuwa na mifugo nyingi lakini zaidi alifuga mbuzi.
Naimbiri waraw'angwa Mwangoji.,Hapo mbeleni aliitwa Mwangoji.
Orechika mwindi nwao irina jape jikaghaluswa ukaw'angwagha Mwakughu.,Alivunjika mguu halafu jina lake likageuzwa akaitwa Mwakughu.
"Kwadiranganya, nimoni ni Mkaw'anyika si Waleghwa ungi.","Umetuchanganya, mimi ni Mkawanyika sio Waleghwa."
Nani uko na ndighi rifwane huw'u?,Nani ana nguvu namna hii?
Ela simanyire kwaki w'amuka kuvika huw'u.,Lakini sijui kwanini wamechelewa kufika namna hii.
Uo nuo nereghorieghe malagho ghape angu uchagha nanyuma yapo.,Huyo ndiye nilisema mambo yake kuwa atakuja nyuma yangu.
W'aja w'rumiriagha irina jape niw'o w'ana w'a Mlungu.,Wale wanaoamini jina lake ndio wana wa Mungu.
Daw'ida ndeiko seji erekoghe kala ichuye vilemba.,Taita haiko vile ilivyokuwa zamani ilijaa misitu.
Orew'angiloghe uende funya w'ushuda ghwape.,Aliitwa aende akatoe ushahidi wake.
Oko mndu uw'angwagha Mndumu wa Kinyavura.,Kuna mtu anayeitwa Mndumu wa Kinayavura.
Kaw'ona si omoni ndekune jingi jerebonyekagha.,Wala pasipo yeye hakuna kitu kingefanyika.
W'andu w'eshama tabia izamie elombalomba kisha.,Watu wamebuni tabia mbaya ya kuombaomba hovyo.
Iridia jape jazoghue okunda ujiare.,Nywele zake zimekua anataka kuzinyoa.
Aw'a w'andu w'esindadeda kimzaw'o.,Hawa watu walikuwa wakiongea kikwao.
W'andu w'engi w'aw'iadamba ihi ngelo ya Krismasi.,Watu wengi wanasafiri wakati huu wa Krismasi.
Mori ghwasia kufuma didedanye.,Mwezi umeisha tangu tuzungumze.
Agha matuku nacha nikaariagha luma.,Siku hizi silali mapema.
Omoni ni mwalimu wa skulu ya w'achili.,Yeye ni mwalimu wa shule ya wahubiri.
Simanyire kwaki useniw'unjire majibu.,Sijui kwanini hakunirudishia hakunijibu.
Nikadima kumeria ikaiagha nicha.,Nikiweza kumaliza itakuwa vizuri.
Sifungieghe ndighi seji nipangieghe.,Sikufanya bidii jinsi nilivyopanga.
Nesinda yamayu nenda w'oka kudungumia.,Nilikuwa nikipiga miayo nilipoanza kusinzia.
Natimieghe ela ghose ghalemekana.,Nilijaribu lakini yote yameshindikana.
M'baa wa kula mzi ni ndee waro.,Mkuu wa kila jamii ni babaye.
Nwao sena maza rimu ni ra kimlungunyi na rimu ni ra kindoenyi.,Halafu tena mambo mengine ni ya kimbinguni na mengine ni ya kidunia.
Reko maza ra kiroho na ra kimuw'i.,Kuna mambo ya kiroho na ya kimwili.
Kafwani ndouniandikie barua.,Hajaniandikia barua hivi karibuni.
W'ele mwasinda na sere w'anedu?,"Je, m'meshinda na amani ndugu zangu?"
Iro maza nirekuw'ara mndu.,Hayo mambo ni tya kukwaza mtu.
Kufuma idakoni mndu uo ose usenikuw'ishe.,Kutoka sasa mtu yeyote asinikwaze.
Kufuma idana mndungi usakenijisha w'asi.,Kutoka sasa mtu yeyote asiniletee shida.
Mndu usekukase kwa kindo chingi.,Mtu asijivune kwa kitu chochote.
Mndu usekukase kwa kilambo chingi.,Mtu asiringe kwa kitu chochote.
Iyo mizango yakatishwagha nani agha matuku?,Hizo desturi zinatimizwa na nani siku hizi?
Sena ni nicha kubonya nicha kwa w'andu w'a kinyumba.,Tena ni vizuri kutenda wema kwa watu walio jamii.
"Kwa huw'o, diw'ibonyere w'andu w'ose nicha ngelo diko na w'ulalo.",Kwa hivyo tuwatendee watu wote wema wakati tuna nafasi.
Kusilwa nindighi ni hali ya kidamu.,Uchovu ni hali ya mwanadamu.
Iji disefuye ngolo na kubonya w'ucha.,Tusipokufa moyo na kutenda mema.
Dichakuw'ida ngelo yaro ikavika.,Tutavuna wakati wake ukifika.
Nesi disesilo ni ndighi kubonya nicha.,Nasi tusichoke kufanya mema.
Kukaw'a kwa Roho kufuma kwa Roho uchakuwida irangi ja kala na kala.,Ukipanda kwa Roho kutoka kwa Roho utavuna uhai wa milele na milele.
"Kukaw'a kwa bea ra mumbi ghwako, kufuma kwa mumbi kuchakuwida kuw'oa.","Ukipanda lwa tamaa za mwili wako, kutokana na mwili utavuna kuoza."
"Icho chose mundu uchiwagha, nichecheni uchachikuwida wori.","Chochote hicho mtu anachopanda, ndicho hicho atakivuna pia."
Efwana diw'aghane vilambo vose karakara.,Inafaa tugawane vitu vyote sawasawa.
Aw'a w'ifundishagha ilagho ja Mlungu ni w'achili.,Wale wanaofundisha neno la Mungu ni wahubiri.
Angu kula mundu uchaghuduka msigo ghwake moni.,Kwa sababu kila mtu ataubeba mzigo wake mwenyewe.
Niko uchakaia na sababu ra kukukasa kwape uo moni.,Ndio atakuewa na sababu ya kujivuna kwake yeye mwenyewe.
Kula mundu ndeitime kazi yake moni.,Kila mtu ajaribu kazi yake mwenyewe.
"Mndungi ukaghesha w'ei oko kindo chimu, nao useko kindo chingi, wakukalia moni.","Yeyote afikiriaye eti yeye ni kitu fulani, naye si kitu chochote, anajidanganya mwenyewe."
Mtesiane inyo w'eni kwa inyo w'eni eri mkatishe lukundo lkwa Kristo.,Msaidiane nyinyi wenyewe ili mtimize upendo wa Kristo.
Mkulindie inyo w'eni eri msechetimwa w'ori.,Mjilinde wenyewe ili msijaribiwe pia.
Kaw'ona mndu wabonya ikosa ofwana uteselo.,Kama mtu amefanya kosa anafaa kusaidiwa.
Sikunde nikaie mndu ow'adwa ni iriso ja w'andu nisemanyagha w'asi ghwaw'o.,Staki niwe mtu wa kuwa na kijicho na watu nisiowajulia shida zao.
W'amerie kughusulubisha mumbi chiaimweri na mirudo yaro na bea raro.,Wamemaliza kuusulubisha mwili pamoja na mivuto yake na tamaa zake.
Linu ni ituku jehoresha hata ngera gheko malazi ghebonya.,Leo ni siku ya kupumzika hata kama kuna mengi ya kufanya.
Wabonyere maza mbaa kuchumba maririkanyo gha w'andu. ,Amefanya mambo makubwa kupita mafikira ya watu.
Omoni ndoufwanane na mndungi kwa ghuja mzi.,Yeye hajafanana na yeyote kwa jamii ile.
Nalomba Mlungu umfungue chia yape eri uzoghuo.,Ninaomba Mungu amfungulie njia yake ili akue.
Ndouichi kukusera angu kunyama chuku.,Hajui kunyenyekea au kunyamaza.
Kula mzi ghofwana ghulindie w'umweri aghadi yaw'o.,Kila jamii inafaa kulina umoja kati yao.
Ilagho ibaa ni kurumaghiana inyo w'eni kwa inyo w'eni.,Jambo kubwa ni kuwa wavumilivu wenyewe kwa wenyewe.
Kwadokwa ni madu ndokuw'angilo ni mndungi.,"Umesikia sauti isiyokuwepo, hakuna mtu aliyekuita."
W'andu w'engi w'akaia cha mbuw'enyi.,Watu wengi huishi sehemu za mashambani.
Angu ni w'aya hata kurighora iro maza w'iribonyagha kivisonyi.,Kwani ni aibu kusema hayo mambo wayafanyayo kifichoni.
Itunda ja mwengere jaw'oneka andenyi ya icho chose chiko chiboie.,Tunda la mwangaza linaonekana ndani ya chochote kilicho kizuri.
Kwa huw'u msakekaia ngara naw'o.,Kwa hivyo msiwe na uhusiano nao.
Msakekalilwa ni mndungi kwa madedo maduu.,Msidanganywe na mtu yeyote kwa maneno matupu.
"Hata madedo gha kisha kisha, angu nganyi risefwanagha.",Hata matamshi ovyo au ubishani usiofaa.
Msakekaia na wuchafu ghungi.,Msiwe na uchafu wowote.
Mghende kwa lukundo seji koni inyo mkundilo.,Mwende kwa upendo kama vile mulivyopendwa.
Ndedimerelwagha putu jingi.,Hatutaangamizwa kabisa kamwe.
W'ugaidi ndoghukaiagha sena.,Ugaidi hautakuwapo tena!
Ndew'idisighie jingi bila w'utesia iyo ngelo ya matuku gha w'asi.,Hawakutuacha kamwe bila kutusaidia wakati wa siku hizo zenye mashaka.
Cheko charo chimweri chija usechiliwagha.,Kuna safari moja ambayo hatasahau.
W'utawala ghwa kidamu ndoghuruhusilwagha sena.,Utawala wa kibinadamu hautaruhusiwa tena.
Nderipatikanagha andu kungi kuzima w'urumwengunyi ughu ghwa w'asi mungi.,Haipatikani mahali pengine popote katika ulimwengu huu wenye matatizo mengi.
Sipatire kuw'ona ilagho jikurie sa ijo maishenyi.,Sijapata kuona jambo gumu kama hilo maishani.
"Kwa w'undu oka mkonu ghwapo ghwa kiw'omi, sisughusikagha jingi.","Kwa sababu yuko mkono wangu wa kulia, sitatikiswa kamwe."
Jingi sigheshere ijo ilagho.,Sijawahi kufikiria jambo hilo
Kusekekaia mndu wa shwashwa.,Usiwe mwenye haraka.
Nereghesha angu ndekune mndungi ukunde kusikira maelezo ghapo.,Nikifikiri kwamba hakuna aliyetaka kusikia maelezo yangu.
Nerelisa kunyama chuku tu bila kufunya maelezo ghangi.,Nilizoea tu kunyamaza bila kutoa maelezo yoyote.
Kusekededanya na inyi sena jingi aighu ya iji ilagho.,Usizungumze nami tena kamwe kuhusu jambo hili.
Ozoghuya ikanisenyi ela jingi ndeubatiziro.,Umelewa kanisani lakini hajawahi kubatizwa.
Angu ngera kwaw'angwa ni Mlungu?,Au pengine umeitwa na Mungu?
Nenyo mkaie mkidunga miri na kumanga kwa lukundo.,Nanyi muwe mkipanda mizizi na kusimama kwa upendo.
Wapatire matiriro mengi kwa w'undu ghwa w'ukongo.,Ameoata mateso mengi kwa sababu ya ugonjwa.
Timenyi msefo ngolo.,Jaribuni msife mioyo.
Mchango ghwabonyero ela magome ghifunyiro ndeghikate.,Mchango ulifanywa lakini pesa zilizotolewa hazijatosha.
Kula ilagho kwape mpaka jiviso.,Kila jambo kwake ni lazima lifichwe.
Mbari iri ndini nderinekwagha w'udumiki sa mbari iri mbaa.,Kabila hizi ndogo hazipewi huduma kama kabila kubwa.
Wamwandikie barua vui ukimzera wamkunde.,Amemwandikia barua fupi akimwambia anampenda.
W'isighe kusuana w'iw'adane sa w'andu w'amweri.,Waache kuchukiana washukane kama kitu kimoja.
W'ele kwaki kunisue huwu?,"Je, ni kwa nini unanichukia hivi?"
Linu kwanighesha .,Leo umenifikiria.
Mndungi ndeufwane ukukase mana hata miruke dirudagha ni kwa mvono.,Mtu yeyote hafai kuringa maana hata pumzi tuvutayo ni kwa neema.
Hata ubonyero w'ucha ndouw'adie chaw'ucha.,Hata akitendewa mema hana asante.
W'ughoma ghwape mungi ghusepimikagha.,Huruma zake nyingi zisizopimika.
Ela Mlungu nuo uko na w'ughoma mungi na lukundo kodu isi.,Lakini Mungu ndiye mwenye huruma kuu na upendo kwetu sisi.
Ndedinughagha bea ra mumbi na ra maririkanyo gha kisha.,Hatufuati tamaa za mwili na mafikira ovyo.
Ndomfwane kunugha mighendo ya w'urumwengu ughu.,Hamfai kufuata mienendo ya ulimwengu huu.
Silekagha kufunya chaw'ucha kwa w'undu ghonyu.,Siachi kutoa asante kwa sababu yenu.
Deresuw'irieghe angudipatagha kalambo kangi ughu mori.,Tulitarajia kuwa tungepata kitu kidogo mwezi huu.
Kunughana na mpango ghwape seji koni orepangieghe.,Kulingana na mpango wake kama vile alivyiopanga.
